imagem,condicao,metodo,palavras_anotadas,precisao,revocacao,f1,angulo_corrigido
86236474_6476,foto simulada,pipeline do projeto,119,0.8917,0.8992,0.8954,-3.7
86244113,scan original,sem pré-processamento,84,0.7529,0.7619,0.7574,
86244113,scan original,pipeline do projeto,84,0.7935,0.869,0.8295,0.0
86244113,foto simulada,sem pré-processamento,84,0.1905,0.0476,0.0762,
86244113,foto simulada,pipeline do projeto,84,0.6737,0.7619,0.7151,-4.5
86263525,scan original,sem pré-processamento,87,0.8351,0.931,0.8804,
86263525,scan original,pipeline do projeto,87,0.8526,0.931,0.8901,-0.2
86263525,foto simulada,sem pré-processamento,87,0.6515,0.4943,0.5621,
86263525,foto simulada,pipeline do projeto,87,0.8438,0.931,0.8852,-3.8
86328049_8050,scan original,sem pré-processamento,208,0.7514,0.6683,0.7074,
86328049_8050,scan original,pipeline do projeto,208,0.7817,0.7404,0.7605,0.6
86328049_8050,foto simulada,sem pré-processamento,208,0.7,0.2692,0.3889,
86328049_8050,foto simulada,pipeline do projeto,208,0.7585,0.7548,0.7566,-3.7
87086073,scan original,sem pré-processamento,56,0.45,0.3214,0.375,
87086073,scan original,pipeline do projeto,56,0.52,0.4643,0.4906,-0.6
87086073,foto simulada,sem pré-processamento,56,0.5238,0.1964,0.2857,
87086073,foto simulada,pipeline do projeto,56,0.3455,0.3393,0.3423,-4.2
87093315_87093318,scan original,sem pré-processamento,202,0.7885,0.8119,0.8,
87093315_87093318,scan original,pipeline do projeto,202,0.8366,0.8366,0.8366,0.0
87093315_87093318,foto simulada,sem pré-processamento,202,0.4286,0.0891,0.1475,
87093315_87093318,foto simulada,pipeline do projeto,202,0.8256,0.797,0.8111,4.1
87125460,scan original,sem pré-processamento,72,0.5732,0.6528,0.6104,
87125460,scan original,pipeline do projeto,72,0.6477,0.7917,0.7125,-0.6
87125460,foto simulada,sem pré-processamento,72,0.5783,0.6667,0.6194,
87125460,foto simulada,pipeline do projeto,72,0.7089,0.7778,0.7417,4.0
87137840,scan original,sem pré-processamento,75,0.378,0.4133,0.3949,
87137840,scan original,pipeline do projeto,75,0.3895,0.4933,0.4353,-0.4
87137840,foto simulada,sem pré-processamento,75,0.2615,0.2267,0.2429,
87137840,foto simulada,pipeline do projeto,75,0.3684,0.3733,0.3709,5.6
87147607,scan original,sem pré-processamento,207,0.4836,0.285,0.3587,
87147607,scan original,pipeline do projeto,207,0.7259,0.6908,0.7079,0.4
87147607,foto simulada,sem pré-processamento,207,0.5417,0.1256,0.2039,
87147607,foto simulada,pipeline do projeto,207,0.7437,0.715,0.7291,5.3
87332450,scan original,sem pré-processamento,155,0.8182,0.8129,0.8155,
87332450,scan original,pipeline do projeto,155,0.7988,0.8452,0.8213,-0.3
87332450,foto simulada,sem pré-processamento,155,0.3881,0.1677,0.2342,
87332450,foto simulada,pipeline do projeto,155,0.7557,0.8581,0.8036,-6.1
87428306,scan original,sem pré-processamento,186,0.8784,0.6989,0.7784,
87428306,scan original,pipeline do projeto,186,0.7263,0.7419,0.734,-0.7
87428306,foto simulada,sem pré-processamento,186,0.7051,0.5914,0.6433,
87428306,foto simulada,pipeline do projeto,186,0.7182,0.6989,0.7084,3.0
87528321,scan original,sem pré-processamento,205,0.5524,0.5659,0.559,
87528321,scan original,pipeline do projeto,205,0.7692,0.7805,0.7748,-0.5
87528321,foto simulada,sem pré-processamento,205,0.5617,0.6439,0.6,
87528321,foto simulada,pipeline do projeto,205,0.7696,0.8146,0.7915,-4.0
87528380,scan original,sem pré-processamento,387,0.7912,0.509,0.6195,
87528380,scan original,pipeline do projeto,387,0.6675,0.6951,0.681,0.0
87528380,foto simulada,sem pré-processamento,387,0.4734,0.4134,0.4414,
87528380,foto simulada,pipeline do projeto,387,0.5995,0.6227,0.6109,3.0
87594142_87594144,scan original,sem pré-processamento,458,0.5038,0.4367,0.4678,
87594142_87594144,scan original,pipeline do projeto,458,0.7787,0.845,0.8105,0.2
87594142_87594144,foto simulada,sem pré-processamento,458,0.3509,0.2467,0.2897,
87594142_87594144,foto simulada,pipeline do projeto,458,0.7157,0.7642,0.7392,-3.8
89856243,scan original,sem pré-processamento,306,0.7016,0.7222,0.7118,
89856243,scan original,pipeline do projeto,306,0.7233,0.8203,0.7688,0.0
89856243,foto simulada,sem pré-processamento,306,0.5462,0.4641,0.5018,
89856243,foto simulada,pipeline do projeto,306,0.6842,0.7647,0.7222,4.1
91814768_91814769,scan original,sem pré-processamento,351,0.7324,0.7721,0.7517,
91814768_91814769,scan original,pipeline do projeto,351,0.7546,0.8234,0.7875,-0.9
91814768_91814769,foto simulada,sem pré-processamento,351,0.6106,0.3932,0.4783,
91814768_91814769,foto simulada,pipeline do projeto,351,0.8052,0.7892,0.7971,2.2
92380595,scan original,sem pré-processamento,267,0.7963,0.8052,0.8007,
92380595,scan original,pipeline do projeto,267,0.8277,0.8277,0.8277,-0.7
92380595,foto simulada,sem pré-processamento,267,0.6142,0.5843,0.5988,
92380595,foto simulada,pipeline do projeto,267,0.7704,0.779,0.7747,4.9
93106788,scan original,sem pré-processamento,308,0.633,0.6104,0.6215,
93106788,scan original,pipeline do projeto,308,0.7981,0.8084,0.8032,-0.4
93106788,foto simulada,sem pré-processamento,308,0.3506,0.0877,0.1403,
93106788,foto simulada,pipeline do projeto,308,0.6975,0.711,0.7042,-6.1
